UID (NE PAS MODIFIER),Mot en luxembourgeois,Genre (m/n/f),Mot en français,Phrase d'exemple en luxembourgeois ,Phrase d'exemple traduite
f005060b7bc7,eng Zeitung,f,Un journal,,
f7ae8f0490bc,Meindeg,m,Lundi,,
fe2498c48842,Dënschdeg,m,Mardi,,
a703a4e37268,Mëttwoch,m,Mercredi,,
37cff5d17d68,Donneschdeg,m,Jeudi,,
fba7309557c5,Feideg,m,Vendredi,,
2dc72a6ef63c,Samschdeg,m,Samedi,,
e8abc87efabf,Sonndeg,m,Dimanche,,
3ffa5f127636,D'Joreszaiten,p,Les saisons,,
96b766abe76f,Oui,,jo,,
c4c90027a9ad,Non,,nee,,
f7cd785569f8,Gutt,,(Je vais bien,,
35dbedcb8397,Ganz gutt,,(Je suis) vraiment bon,,
c51fffe5a464,Super,,(Je suis) super,,
394609ab900e,Tipptopp,,(Je suis) fantastique,,
8e5c6b3b6e27,Net gutt,,(Je ne suis) pas bon,,
4dc7d79f9a4b,Schlecht,,(Je suis) mauvais,,
ac194cbb2562,Ganz schlecht,,(Je suis) vraiment mauvais,,
ee08bdeb9b31,Net extra,,Pas très bon,,
4cd02e0694c5,Alt esou,,Je vais bien,,
7ca546ae8067,Et geet,,Ça se passe bien,,
b7f7e274106b,Familljennumm,,Nom de famille,,
8d9226d76cce,Grouss,,Grand,,
ecac03074e52,Kleng,,Petit,,
4f0c8ae634bf,Bonjour,,Bonjour (formel),,
4c6c68915f07,Moien,,Bonjour (standard),,
f702283591b2,Gudde Moien,,Bonjour,,
154d8637671f,Gudde Mëtteg,,Bon après-midi,,
d0e01c800794,Gudden Owend,,Bonne soirée,,
7b7dcc815a4c,Gutt Nuecht,,Bonne nuit,,
daef22809ed8,Äddi,,Au revoir (standard),,
deb72e301ef9,Awar (op Süden) Awuer (à la ville),,Au revoir (formel/ancien),,
cb2682577701,Norden,,Nord,,
84be3f3f7e68,Süden,,Sud,,
944abbe5a4a2,Westen,,Ouest,,
b5a777c09efa,Osten,,Est,,
15ba75da4b12,Wanneschgelift (w.e.g.),,S'il te plaît,,
cf24071c9815,Merci (fir de Bic),,Merci (pour le stylo),,
80cbfced60e1,Faarf (Faarwen),f,Couleurs),,
120c8ed0d905,Januar,,Janvier,,
168dc16fc883,Februar,,Février,,
e8cfde313fbb,Mäerz,,Mars,,
6eb0bf0b05c5,Abrëll,,Avril,,
29094c5fb7bb,Mee,,Mai,,
50b238c6c3cf,Juni,,Juin,,
d2af4c9c111d,Juli,,Juillet,,
7df2071ac7c4,August,,Août,,
d05a71cafe61,September,,Septembre,,
80d5c02b8b5a,Oktober,,Octobre,,
1b529183806a,November,,Novembre,,
6e58bc6d3eb1,Dezember,,Décembre,,
3de8726fbb5f,den Dësch,m,le bureau,,
5de8729ee0d5,de Stull,m,chaise,,
9cd9e0d9b53e,de Mann,m,homme,,
1a810877147e,d'Fënster,f,fenêtre,,
eeb517a2f1b7,d'Mauer,f,mur,,
abc2231aa9c0,d'Tafel,f,tableau (tableau blanc/tableau noir),,
cccf0f66f519,d'Buch,n,livre,,
bf276d8d61ed,d'Heft,n,carnet de notes,,
74aa44703517,d'Bild,n,le tableau,,
9ef31d6bc9e4,Mech och,,Moi aussi,,
b17c51ea43b8,d'Widderhuelung,f,répétition,,
63a588e97fc0,d'Hierkonft,f,l'origine,,
81ac7bb2c3b7,sech virstellen,,se présenter,,
b841cb1fa5d6,Shéine Mëtteg!,,Passez un bon après-midi !,,
20a921da0bb6,Shéinen Owend!,,Passe une bonne soirée!,,
b0309593ac86,e Fändel,m,un drapeau,,
243cdbd562ee,d'Fändelen,m,les drapeaux,,
376aa1036787,d'Faarwen,f,les couleurs,,
9bb38ab5d3cf,e Land,n,un pays,,
67ba531a19a8,d'Länner,n,les pays,,
7ce5370e976a,eng Nationalitéit,f,une nationalité,,
6c4ca6aae1f9,d'Nationalitéiten,f,les nationalités,,
591299ac4b67,eng Regioun,f,une région,,
26336cb39109,d'Regiounen,f,les régions,,
67f2a36eb8df,eng Sprooch,f,une langue,,
10b756089078,d'Sproochen,f,les langues,,
1162d9c3551a,eng Stad,f,une ville,,
ce1a111463f0,d'Stied,f,les villes,ech gi gär mëttelalterlech Stied kucken,
1f1f968cba49,heemechtland,n,pays d'origine,,
078dd356d294,Heemechtsstad,f,ville natale,no zéng Joer am Ausland huet hien seng Heemechtsstad net méi erëmerkannt,
c232ee4df9bb,Sproocheschoul,f,École de langues,,
ecf7c8c15c04,Eng Fra,f,Une femme,,
19fd07f1f950,e Mann,m,Un homme,,
321a045b9113,eng Kaffispaus,f,Une pause-café,,
9b5c00f14955,verstoen,,comprendre,,
643f8dacefce,sech duzen,,se tutoyer,,
23f08987061a,sech dierzen,,se vouvoyer,,
3db675f74640,gell,,n'est-ce pas,"gell, du kënns den Owend!",
2ab5c9b67567,Nationalitéit,f,Nationalité,,
ad517dd26dfe,Brasilien,,Brésil,,
2e3354df8ed0,Frankräich,,France,,
ca6766571ef2,Spuenien,,Espagne,,
f19a73deb9fb,Tiirkei,,Turquie,,
4d21c92cf116,d'Géigend,f,la région,,
2361555292b5,d'Himmelsrichtung,f,point cardinal,,
7725cf37d812,den Zentrum,m,le centre,,
e4017e9c30f9,d'Mëtt,f,le milieu,,
bded2b194756,an address,f,Adresse anglaise,,
6d9ab8f946ce,Awunner (/) Awunnerin,m / f,Habitant,,
0a88047f0522,eng E-Mail-Adress,f,Adresse email,,
66300c70037c,e Formulaire,m,une forme,,
47778ee297cc,eng Handysnummer,f,un numéro de téléphone portable,,
0a6e6bb57c29,eng Telefonsnummer,f,un numéro de téléphone,,
1ae23a4200f3,d'Uertschaft,f,la localité,,
d9930a64cc52,d'Virwal,f,l'indicatif/le code d'appel,,
e125cb77106f,e Wunnuert,m,un lieu de résidence,,
88b94fbf75fd,eng Zuel,f,un certain nombre,,
57a2b822d292,brauchen,,avoir besoin,,
e66ceefad11d,umellen,,"Pour vous inscrire, inscrivez-vous",,
c2028bd6bc42,widderhuelen,,"répéter, réviser",,
2e76c938ebd3,wunnen,,vivre (quelque part),,
69fe9f667334,en Alter,m,l'âge (d'une personne),,
2879aa68ed8a,Chrëschtdag,m,Noël,,
14d8384fb253,en Dag,m,une journée,,
419b632b93f7,en Datum,m,une date,,
3aef5b7896af,e Feierdag,m,un jour férié,,
3d2ce4748981,d'Fest,n,le festival,,
adbc3c3e11aa,de Gebuertsdag,,l'anniversaire,,
a917a057b3b6,d'Deeg,m,jours,,
f305a5113a51,eng Joreszäit,f,une saison,,
4d2e7971fefd,d'Fréijoer,n,Printemps (saison),,
e727d854b136,de Summer,m,Été,,
399e14595cb2,den Hierscht,m,l'automne,,
2b6c9149b91f,de Wanter,m,Hiver,,
94a66df341bb,Kleeserchersdag,m,La Saint-Nicolas,,
24f3427ed780,e Mount,m,un mois,,
5496f292e034,d'Méint,m,mois,,
a45cf4ebe579,den Nationalfeirdag,m,la journée nationale,,
ccb8be0c6dff,d'Ouschteren,n,Pâques,,
94362e6142b9,eng Vakanz,f,des vacances,,
069165b2a7bf,e Wochendag,m,un jour de semaine,,
d7d85291d5fd,Méindeg,m,Lundi,,
11b79a8976b4,Dënschdeg,m,Mardi,,
5fd06847207f,Mëttwoch,m,Mercredi,,
77a8bf9d39c2,Donneschdeg,m,Jeudi,,
4a090eaa14ba,Freideg,m,Vendredi,,
e5310d04e3b2,Samschdeg,m,Samedi,,
5e1ea34ccc23,Sonndeg,m,Dimanche,,
280547755977,gebuer,,être née,,
fabebf945c0b,gëschter,,hier,,
c1db232d91e0,haut,,aujourd'hui,,
1d8a5b0b434b,iwwermuer,,apres-demain,,
53e00547ac6b,tomorrow,,muer,,
34462fdc343d,vigëschter,,avant hier,,
045a50a15c2d,d'Fra,f,l'épouse/la femme,,
2a7fee7d0a50,de Jong,m,le fils,,
8279ca3f88e0,de Jonggesell,m,l'homme célibataire,,
d1e5f4f6a62c,d'Jonggesellin,f,la femme célibataire,,
de835d7b006a,d'Kand,n,l'enfant,,
437688e36924,d'Kanner,n,les enfants,,
284cff65e94d,de Mann,m,le mari/l'homme,,
2d4fda1aa208,d'Meedchen,n,la fille,,
27db02524e93,d'Meedercher,p,les filles,,
948c3b1fce63,bestuet,,marié,,
606801d9337d,bestueden,,se marier,,
d0716dd37688,gepacst,,PACSER,,
7085d0cfdd57,pacsen,,pour obtenir des PAC,,
ac3024a60e80,gescheet,,divorcé,,
7d08d4ac570d,scheeden,,divorcer,,
693381a190fd,akafen,,"pour acheter, faites vos courses",,
101af3e181b5,äntweren,,"répondre, répliquer",,
170226ec77ce,ausmaachen,,"éteindre, couper, mettre hors tension",,
fb30bb58d1e6,besichen,,rendre visite (à une personne),,
f60f977dee7b,bestellen,,"commander, demander",,
dd930a634a72,(sech) bestueden,,se marier,,
aa1c17e0e6ce,bezuelen,,"payer, dépenser",,
39708fcce2c6,bleiwen,,"rester, demeurer",,
f35b92a9c2db,botzen,,nettoyer,,
49a8320051b2,brauchen,,avoir besoin,,
ed42b6092a4b,bréngen,,"livrer, remettre",,
7eda5e00f800,buschtawéieren,,épeler,,
e44b205779bb,däerfen,,"être en mesure de (avoir le droit de, être autorisé à)",,
dafc1dba36d5,danzen,,danser,,
5fe6ac7562db,decidéieren,,décider,,
6d2df5630e7e,dierzen,,s'adresser formellement (vouvoyer),,
9df3f99794da,drénken,,"boire, avaler (liquide)",,
7d911c6be522,(sech) duschen,,se doucher,,
abbfc21e3f36,duzen,,appeler quelqu'un de manière informelle (tuteur),,
5dc1f503f302,ënnerschreiwen,,souligner,,
6200e281ab63,(sech) entschëllegen,,"excuser, s'excuser",,
d23524791aeb,erwächen,,se réveiller,,
88489353484d,fannen,,trouver,,
8031ef75cd7f,fléien,,voler,,
f1dcea7fae9b,fortfueren,,"partir (en voiture, en train)",,
c40306b5c3ab,froen,,demander (demandeur),,
5a11297d5d6d,fueren,,conduire,all Dag fueren Dausende vun Automobilisten iwwer dës Bréck,
071b10e5b235,gesinn,,voir (voir),,
6c72ba4ab543,ginn,,"donner, devenir",,
25a969228476,goen,,aller,,
045715b8b4e3,heeschen,,appeler,,
5b7631b87822,héieren,,entendre (entendre),,
0caf5620965e,hëllefen,,"aider, assister",,
4b1dc55e3b31,hoffen,,espérer,,
fd2080d5b02f,huelen,,prendre,,
d49c079758db,hunn,,avoir,,
04c2e0781323,iessen,,manger,,
622afc8bc846,invitéieren,,inviter,,
07d983f425dd,kachen,,"cuire, bouillir",,
a3191e306af5,kafen,,acheter,,
411f2b0da3b5,kaschten,,coûter (de l'argent),,
2acfe56ed507,kennen,,connaître (une personne),,
e7760a69a285,kënnen,,"être capable de (être bon en, être capable de)",,
9e53e33accca,kommen,,à venir,,
88f36604ab44,kréien,,"obtenir, recevoir",,
8c5a40f9b578,kucken,,regarder,,
c698c7720660,laachen,,rire,,
9e1cf06d611e,lafen,,courir,,
7bd24cd34f29,lauschteren,,écouter (écouter),,
1647dd5db31a,léieren,,apprendre,,
c852ef2c2cff,liesen,,lire,,
9cab6df56a66,lounen,,louer,,
3defdd397d28,maachen,,"faire, réaliser",,
a97f91622bf5,mengen,,"penser, croire",,
f3c82438f0e1,molen,,"peindre, dessiner",,
5efa901050a4,mussen,,"devoir, être obligé de",,
3f5d3bf8c71a,opmaachen,,ouvrir,,
7fb95fc10809,oppassen,,"faire attention, veiller sur, prendre soin de",,
bc38daabe140,organiséieren,,organiser,,
fe50c1f38d49,plënneren,,"déplacer (meubles, objets)",,
34b510b31c46,preparéieren,,se préparer,,
30e2ca1430cd,probéieren,,"essayer, essayer",,
98f070d81297,raschten,,"se reposer, se détendre, s'allonger",,
80cc22182d1f,raumen,,"ranger, mettre en ordre",,
dd4025640265,reenen,,il pleut,,
9341f1af1c5d,reservéieren,,réserver,,
96a956da5f13,sammelen,,"collecter, rassembler",,
34dda87e0a28,sangen,,chanter,,
5637cbac27b3,schaffen,,travailler,,
2252a9b3b168,schlofen,,dormir,,
53cb5376dd1d,schneiden,,"couper, sculpter",,
30011040b655,schneien,,neige,,
5cf49afc01a7,schreiwen,,écrire,,
413fafd57652,schwammen,,nager,,
164214809ea8,schwätzen,,"parler (une langue), parler",,
91bd6e5bbfd0,sichen,,"chercher, rechercher",,
5bff2794f825,sinn,,être,,
b058db809215,soen,,dire,,
6623f7dbb056,sollen,,"devrait, devrait, ferait mieux",,
41a6215a74c2,spadséieren,,"aller se promener, marcher",,
510265f3de9b,spillen,,jouer,,
2b2d46afdb87,studéieren,,étudier,,
2a053c8cbf7a,telefonéieren,,téléphoner,,
108287591a6a,üben,,"s'entraîner, répéter",,
46190122580c,ukommen,,arriver,,
53b0f24318c9,umaachen,,"fixer, attacher, allumer, éclairer",,
9731382757de,verkafen,,vendre,,
b4ab08343b32,verléieren,,perdre,,
c335a2decae3,verlounen,,louer,,
7e1630785b81,verstoen,,comprendre (la signification de),,
bf1dffd10ca8,waarden,,attendre,,
c15c28e0f16b,weisen,,montrer,,
e1024cb420c6,wëllen,,"vouloir, demander",,
3f7a38a97046,wënschen,,souhaiter,,
7a9aaf263917,wëssen,,savoir,,
b7e589f7e773,widderhuelen,,répéter,,
5730dc069d6f,wunnen,,vivre (quelque part),,
a711891ad16a,zerwéieren,,"servir (une personne, de la nourriture ou des boissons)",,
888b3af1d5a9,zielen,,"compter, additionner",,
a8d21909c19a,zoumaachen,,"fermer, fermer",,
cc74039ded82,Nach,,encore/toujours,,
143489ab0d09,d'Spriechblose,f,bulle de dialogue,,
1a0c90eeeed4,ronderëm,,"rond, autour",,
c6993a67f1fc,zortéieren (sortéieren),,"trier, ranger",,
dccb64818b2b,d'Zousazmaterial,n,le matériel complémentaire,,
a84c2d959fbd,passen,,"s'adapter, correspondre, convenir",,
d1696de83ee4,aus der Klass,f,de la classe,,
d7a3c0269795,ukräizen,,"cocher, marquer",,
77061b313199,noschwätzen,,répéter (copier),,
b85e310f3ea7,e puer Mol,,plusieurs fois,,
5398d5c692c0,beschreiwen,,décrire,,
0bd825389a97,kombinéieren,,"combiner, arranger, assortir",,
91af4fd40213,den Tableau,,"tableau, table (dans un document)",,
17b12df0e46b,kommen aus + Land,,venir d'un pays,,
78553e02ceb5,komme vun + Uertschaft,,venir d'une ville/d'un lieu,,
e12a2f7bde9c,ënnersträichen,,souligner,,
6534901de6ce,awer och,,cependant (mais aussi),,
641211b4a122,d'Übung,f,"la pratique, l'exercice",,
a41151f458c7,stoen,,"être situé, se tenir debout",,
966d711fb00b,déi richteg Kolonn,f,la colonne correcte (droite),,
156bba846ff1,ausfëllen,,"remplir, à compléter",,
61eafba1b702,notéieren,,prendre note (par écrit),,
c414a4ed6b93,verstoen,,comprendre,,
23b5ee080d2f,allen zwee,,tous les deux,,
fc173cce5c5e,feelen,,être absent/manquant,,
b7cb33752436,Heemechtsland,,pays d'origine,,
f19b8efa0293,Heemechtsstad,,ville natale,,
11673b4d5b82,reegelméisseg,,régulier,,
1ba1db625c78,onreegelméisseg,,irrégulier,,
e94a0086b3d7,Miersch,,Mersch (ville),,
aad20f762576,Esch-Uelzecht,,Esch-sur-Alzette (ville),,
d4bb39de7e95,Diddeleng,,Dudelange (ville),,
7ec39189d95f,Iechternach,,Echternach (ville),,
dd1b0ffdabfb,Mëllerdall,,Mullerthall (région),,
b2b38edbaff9,Veianen,,Vianden (Ville médiévale pittoresque au Luxembourg),,
e939095f4f4b,Clierf,,Clervaux (Ville au nord du Luxembourg),,
61417bec7921,Ech-Sauer,,Esch-sur-Sûre (Ville),,
8dd2b55fac61,Ettelbréck,,Ettelbruck (ville),,
a3e14fc2b3b9,d'Ëmgéigend,f,"le quartier environnant, les environs",,
0af8374913bf,Gréiwemaacher,,Grevenmacher (Ville),,
661fcb56d1b4,Lampertsbierg,,Limpertsberg (Quartier de Luxembourg),,
57e5cd053d36,Beetebuerg,,Bettembourg (ville),,
e7abfc254429,Märel,,Merl (quartier de luxembourg),,
4b417f92ff66,Fiels,,Larochette (Ville),,
35582862e126,Hesper,,Hespérange (VIlle),,
cc66621848db,Stroossen,,Strassen (Ville),,
d86b6d24ccb9,Zéisseng,,Cessange (Quartier de Luxembourg),,
43f46650fa05,Nidderkäerjeng,,Bascharage (Ville),,
adfe76cf2de0,Uewerkäerjeng,,Hautcharage (Ville),,
1e18267f48e8,Jonglënster,,Junglinster,,
52ef18ff2ea9,d'Situatioun,f,la situation,,
11e85100483d,wou gesitt Dir,,Où vois-tu ?,,
fe14c9e1a033,de Panneau,m,"le panneau (routier), avis",,
4aa6a4a7ecb1,eng Reklamm,f,"une publicité, un panneau d'affichage",,
46ea9720bf03,matbréngen,,apporter (avec),,
fd17fc2216a9,halen,,"tenir, garder (maintenir)",,
8af4b76d58c9,d'Schaff,f,"le travail, le lieu de travail",,
fd3e31a159b6,Zens,,Cens (quartier de la ville de Luxembourg),,
2b2a64732f2f,Léierzil (Séierziler),n,l'objectif pédagogique,,
6d7ea0f60d49,eng Persoun duerno froen,,puis demandez à une personne,,
b9aa639ce3d7,d'E-Mail-Address,f,l'adresse e-mail,,
e3e52026aa87,eng Käerz,f,une bougie,,
ece0f9bd4a37,de Classeur,m,"le dossier, le classeur",,
3e26929815d4,d'Kamell,f,la confiserie,,
5d711d8f62e0,e Bläistëft (Bläistëfter),m,un crayon,,
b6547ef9283e,trainéieren,,former (enseigner),,
a79668038861,wou genau,,où exactement,,
735b3fe0648e,nach eng Kéier,f,une fois de plus,,
4f66d776756f,formell,,officiel,,
d8a7436c4123,informell,,informel,,
cff44162c79e,den éischten,,le 1er (du mois),,
dafca673bcce,den drëtten,,le 3 (du mois),,
b146269d4016,de véieranzwanzegten,,le 24 (du mois),,
71e54667a26b,de véierzengten,,le 14 (du mois),,
06f07b131efa,liest haart vir,,lire à haute voix,,
2991e77835ea,Diddenuewen,,Thionville,,
b6993946e826,Arel,,Arlon,,
7b3569cdb504,um Weimeschhaff,,à Wiemerschof,,
61224a6ea3b3,op der Polvermillen,,dans Pulvermül,,
1cb7e620d753,op der Kockelscheier,,à Kockelscheuer,,
1afd3d37c30a,am Pafendall,,dans la salle Pfaffenthall,,
334916beb29f,am Préizerdaul,,à Preizerdaul,,
2675f1f002fd,an der Millebaach,,à Mühlenbach,,
8ce3c87a0f54,an der Fuussekaul,,à Fuussekaul,,
f107ca7d0ca6,en Engleschcours,m,un cours d'anglais,,
96d30990abd3,al Donnée (al Donnéeën),f,informations anciennes,,
73b02e7719f3,eng Fiche,f,une forme,,
fff2fff64765,e Bindestréch,m,un trait d'union,,
2c2f4754ec66,actuell,,"actuel, réel",,
ceb204dadb60,eng Lëscht,f,une liste,,
c04039213a59,d'Aussprooch,f,la prononciation,,
76683550fa53,d'Wuert (Wierder),n,le mot,,
a95d7b20606e,virliesen,,lire à voix haute,,
e103d9405e54,e Bouf (Bouwen),m,un garçon,,
02068842a9c7,offiziell,,officiel,,
71eda1b5048b,e Fest (Fester),n,des vacances,,
06eb4b89283c,den Titel (Titelen),m,le titre,,
1dcc8e447eb0,den Texter,m,le texte,,
6e664493d61e,de richtegen Datum,m,la date correcte,,
419ee18701cd,Päischtdënschdeg,,mardi de la Pentecôte,,
4e698db2259f,e Chrëstbeemchen,m,un sapin de Noël,,
7adf7b6bd175,déi brav Kanner,,les bons enfants (bien élevés),,
61c3c884f8d3,eng Rutt,f,"un interrupteur, une tige",,
b2997fab6a31,e Lampion (Lampionen),m,une lanterne en papier,,
2646e76d7924,eng Dier,f,une porte,,
f23399204123,e Lidd (Lidder),n,une chanson,,
97e4ba7a3cc6,fieren,,pour célébrer,,
93247d770107,virdrun,,devant,,
896c962d2bef,eng Militärparad,f,un défilé militaire,,
d883fe0d76f8,bastelen ,,fabriquer (de l'artisanat),d'Kanner hunn an der Schoul e Kaddo fir Mammendag gebastelt,Les enfants ont fabriqué un cadeau pour la fête des Mères à l'école.
32a330ced775,e Gedicht,n,un poème,,
69221f723da7,e reliése Cortège,m,une procession religieuse,,
2566fd11296e,vun Enn August bis Ufank September,n / m,de fin août à début septembre,,
ed033ff69652,d'Kiermes,f,la foire paroissiale,,
ecd4eec6dc64,eng Spezialitéit (Spezialitéiten),f,"une spécialité (domaine d'études, aliment/plat)",,
cf648277b6bf,d'Ëffentlechkeet (kee Pl),f,"le public, le grand public",,
72dffa23b001,opschreiwen,,écrire/noter,,
0393af440449,nennen,,"appeler (nom), mentionner",,
e2eafb12ac61,d'Transportmëttel,n,le mode de transport,,
8082cd9cecec,d'Auerzäit[en],f,l'heure (de la journée),,
e4f10b3d7950,d'Zeen[en],f,la scène (film/pièce de théâtre),,
60eb2c9b6f40,e Verkeefer (/) eng Verkeeferin,m / f,un vendeur,,
6ed0c74f56d3,en Ustraicher (/) eng Usträicherin,m / f,un peintre,,
